Name,Source,Condition,Condition augmented,proc_num#category,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Sc,Si,Sn,Ti,V,Zn,Zr
8081,Aluminium Vol1,H112,H112,3,0,0.79,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
5086,Introduction,H116,H116,3,0,0.954,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0
5083,Introduction,H116,H116,3,0,0.9475,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.044,0.007,0,0,0,0,0,0,0,0
5456,Introduction,H116,H116,3,0,0.947,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.051,0.0008,0,0,0,0,0,0,0,0
1100,Introduction,H12,H12,3,0,0.9988,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5005,Introduction,H12,H12,3,0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0
3105,Introduction,H12,H12,3,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0,0,0,0,0,0,0,0
3003,Introduction,H12,H12,3,0,0.9868,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 3004, H32",all_alloys.csv,H12,H12,3,0,0.969484742,0,0,0,0,0,0,0.001250625,0,0,0.003501751,0,0,0.010505253,0.012506253,0,0,0.00150075,0,0,0,0.001250625,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5754, H12",all_alloys.csv,H12,H12,3,0,0.958719039,0,0,0,0,0,0.001501126,0.000500375,0,0,0.002001501,0,0,0.031023267,0.002501876,0,0,0.002001501,0,0.000750563,0,0.001000751,0
